lat,lon,individual,date
-16.9826544,-57.3822883,Alice,"2015-01-02 20:00:48"
-16.9486467,-57.3855514,Picole,"2015-01-02 20:01:47"
-16.9111119,-57.4806017,Anderson,"2015-01-02 21:00:05"
-16.8646678,-57.3933497,Caiman,"2015-01-02 21:00:06"
-16.9826642,-57.3822553,Alice,"2015-01-02 21:00:08"
-16.8947242,-57.4046103,Fera,"2015-01-02 21:00:20"
-16.8764236,-57.4378192,Dale,"2015-01-02 21:02:27"
-16.9826767,-57.3823194,Alice,"2015-01-02 22:00:13"
-16.8943017,-57.4044211,Fera,"2015-01-02 22:00:21"
-16.864675,-57.3933419,Caiman,"2015-01-02 22:00:30"
-16.9112606,-57.4805147,Anderson,"2015-01-02 22:00:30"
-16.9486353,-57.3854881,Picole,"2015-01-02 22:01:30"
-16.9116794,-57.4807694,Anderson,"2015-01-02 23:00:13"
-16.8646503,-57.3933428,Caiman,"2015-01-02 23:00:14"
-16.8942625,-57.4044175,Fera,"2015-01-02 23:00:30"
-16.9826558,-57.3822556,Alice,"2015-01-02 23:01:11"
-16.86467,-57.3932431,Caiman,"2015-01-03 00:00:07"
-16.9115606,-57.4808119,Anderson,"2015-01-03 00:00:29"
-16.9826261,-57.3822256,Alice,"2015-01-03 00:00:31"
-16.8943128,-57.4043756,Fera,"2015-01-03 00:00:58"
-16.9486678,-57.3854458,Picole,"2015-01-03 00:01:48"
-16.9116531,-57.4808097,Anderson,"2015-01-03 01:00:13"
-16.8647011,-57.3933489,Caiman,"2015-01-03 01:00:30"
-16.9826589,-57.3823122,Alice,"2015-01-03 01:00:48"
-16.89426,-57.4043611,Fera,"2015-01-03 01:00:54"
-16.8762853,-57.4379211,Dale,"2015-01-03 01:01:01"
-16.9486506,-57.3854931,Picole,"2015-01-03 01:01:12"
-16.8647144,-57.3934953,Caiman,"2015-01-03 02:00:13"
-16.9826536,-57.3823147,Alice,"2015-01-03 02:00:29"
-16.8948908,-57.4060664,Fera,"2015-01-03 02:00:30"
-16.9116614,-57.4808097,Anderson,"2015-01-03 02:00:30"
-16.9486311,-57.3854508,Picole,"2015-01-03 02:01:30"
-16.8762369,-57.4378767,Dale,"2015-01-03 02:01:48"
-16.8948072,-57.4060686,Fera,"2015-01-03 03:00:13"
-16.8646614,-57.3935144,Caiman,"2015-01-03 03:00:16"
-16.9826289,-57.3822544,Alice,"2015-01-03 03:00:16"
-16.9117172,-57.4807858,Anderson,"2015-01-03 03:00:27"
-16.8758336,-57.4379739,Dale,"2015-01-03 03:00:41"
-16.94841,-57.3856711,Picole,"2015-01-03 03:01:14"
-16.9826039,-57.3822692,Alice,"2015-01-03 04:00:19"
-16.8646744,-57.3935658,Caiman,"2015-01-03 04:00:30"
-16.894855,-57.4060247,Fera,"2015-01-03 04:00:40"
-16.8748058,-57.4383689,Dale,"2015-01-03 04:00:48"
-16.9113439,-57.4805533,Anderson,"2015-01-03 04:00:57"
-16.9483708,-57.3860414,Picole,"2015-01-03 04:01:30"
-16.8748511,-57.4385539,Dale,"2015-01-03 05:00:16"
-16.8948281,-57.4059628,Fera,"2015-01-03 05:00:20"
-16.8646436,-57.3935958,Caiman,"2015-01-03 05:00:29"
